L,p1,p2,p3,p4
1.0,0.48595795006601805,0.47357900156785865,0.47127960239787015,0.47213655441541635
1.125335582600765,NaN,NaN,NaN,NaN
1.2663801734674032,2.4398753661837573,2.424540634657201,2.4382942964442265,2.446729472519614
1.425102670302998,2.8548042911861478,2.829556037917713,2.8304658858729477,2.8306416861135233
1.6037187437513303,3.052734175113419,3.017844062441226,3.014517179849106,3.0129042420829677
1.8047217668271702,3.105018107601232,3.066194936414318,3.06126499975857,3.0593358792959786
2.0309176209047357,3.2237782453332278,3.1755546070674536,3.168751905720166,3.166189191318284
2.2854638641349903,3.2620085934506147,3.2094125676245246,3.201833929346865,3.1989457969595687
2.571913809059345,3.3448448909455277,3.2826629950612296,3.273630162333672,3.270160220035977
2.894266124716751,3.375216521839156,3.308512576138512,3.2988419192312,3.295128145034246
3.257020655659783,3.4054136597101134,3.3339965360225166,3.323700647812637,3.3197509074819056
3.665241237079628,3.464635743198342,3.3827656846740832,3.371182802370143,3.3667351616854786
4.1246263829013525,3.490606960700456,3.40366290517206,3.3914437579631014,3.386754350378272
4.641588833612778,3.5163135037584734,3.424227515997659,3.4113194892363428,3.406368886258828
5.223345074266842,3.5413009347295574,3.4443648541862317,3.4307096589472232,3.425491671490227
5.878016072274914,3.546726572769909,3.449792830722363,3.4359239533589134,3.4306274744044516
6.614740641230149,3.570572200886824,3.4705219737537973,3.4557734538389644,3.4501778213768324
7.443803013251689,3.578004189102103,3.4791470019910387,3.464003834688274,3.458274553884589
8.37677640068292,3.586045930921918,3.489441074518372,3.4738060695092,3.467892137149928
9.426684551178852,3.593749391561208,3.501018884707348,3.4847950577694125,3.4786652106787286
10.608183551394482,3.6006114347417424,3.513616599923754,3.4966997242700883,3.4903424427174237
11.937766417144363,3.600566055974703,3.5193526019516237,3.502101661776412,3.4956690386780593
13.433993325989,3.6020013796327923,3.527087136485344,3.5093773570041833,3.5028654212862773
15.117750706156622,3.605020729557675,3.53643191386953,3.5181360182335335,3.511588688457336
17.012542798525892,3.6050065255904635,3.541413155240341,3.5227819925600565,3.516223407458666
19.144819761699587,3.6076599037127206,3.5484528852114905,3.5293479711282036,3.5227477454694625
21.544346900318832,3.6083226324215936,3.5525331067679873,3.533138963898513,3.5264870685485965
24.244620170823282,3.612203361516635,3.55882292221089,3.53896421935074,3.5321617635086175
27.28333376486768,3.6101295804322606,3.5593626602354593,3.539455323748825,3.5326434936921234
30.702906297578497,3.6162817772440805,3.5661451690634,3.545707174411242,3.5386060713918774
34.5510729459222,3.617399451765737,3.5684849726596113,3.5478547254868644,3.5406309100517555
38.881551803080875,3.618551736448004,3.5705987304489226,3.549789649168955,3.5424299293994816
43.75479375074185,3.6201628298553645,3.5727998014905546,3.551802968062935,3.544291581460065
49.23882631706739,3.6260617418703136,3.57753336141646,3.5561129027497462,3.5482149365255014
55.41020330009492,3.626132550811416,3.57834143744528,3.5568455229632425,3.5488736704868784
62.35507341273915,3.628043323410359,3.580170262147089,3.5585046815640995,3.5503477607008738
70.1703828670383,3.6318934582602562,3.583006066178462,3.561071144931757,3.5526036342126233
78.96522868499724,3.6326960858236874,3.583965521680021,3.561924857441433,3.553335026992469
88.86238162743403,3.634007090243343,3.585141593277568,3.562983229987963,3.5542277583432806
100.0,3.636254502074432,3.586766995179749,3.5644325303404787,3.555445732920191
