p,L,boundary_gap
0.25,1.0,NaN
0.2684200049420297,1.0,NaN
0.28819719621231704,1.0,NaN
0.309431571326357,1.0,NaN
0.3322304956185631,1.0,NaN
0.35670924510331076,1.0,NaN
0.38299158933399347,1.0,NaN
0.41121041720714535,1.0,1.8973374658917912
0.44150840887582427,1.0,NaN
0.47403875716958577,1.0,NaN
0.5089659421686953,1.0,NaN
0.5464665628489841,1.0,NaN
0.5867302300023132,1.0,NaN
0.6299605249474366,1.0,NaN
0.6763760288786983,1.0,NaN
0.7262114280571625,1.0,NaN
0.7797187004322481,1.0,NaN
0.8371683896936681,1.0,NaN
0.8988509731955419,1.0,NaN
0.9650783306691824,1.0,0.001313884421510128
1.0361853211506709,1.0,0.0013136367753361084
1.1125314760964868,1.0,0.0013143507336580858
1.1945028172479306,1.0,0.001315867850419611
1.2825138084358318,1.0,0.001318013691882555
1.3770094511942694,1.0,0.0013206678573687808
1.4784675347791496,1.0,0.0013237416187551901
1.5874010519681994,1.0,0.0013269841703183625
1.7043607928571491,1.0,0.001330443852040176
1.8299381297668706,1.0,0.0013342645250473738
1.9647680073425282,1.0,0.0013380426496387289
2.1095321529632933,1.0,0.0013420254570159211
2.2649625236951114,1.0,0.0013460599445372524
2.4318450072150157,1.0,0.0013500277232841335
2.611023395419619,1.0,0.0013541509855109274
2.8034036508091575,1.0,0.0013582838404706267
3.009958487218793,1.0,0.001362396936349985
3.231732288058291,1.0,0.0013663882445976699
3.4698463869276943,1.0,0.0013704209396132052
3.7255047373088623,1.0,0.0013743850179772981
4.0,1.0,0.0013784176455444194
0.25,1.0476157527896648,NaN
0.2684200049420297,1.0476157527896648,NaN
0.28819719621231704,1.0476157527896648,NaN
0.309431571326357,1.0476157527896648,NaN
0.3322304956185631,1.0476157527896648,NaN
0.35670924510331076,1.0476157527896648,NaN
0.38299158933399347,1.0476157527896648,NaN
0.41121041720714535,1.0476157527896648,NaN
0.44150840887582427,1.0476157527896648,NaN
0.47403875716958577,1.0476157527896648,NaN
0.5089659421686953,1.0476157527896648,NaN
0.5464665628489841,1.0476157527896648,NaN
0.5867302300023132,1.0476157527896648,NaN
0.6299605249474366,1.0476157527896648,NaN
0.6763760288786983,1.0476157527896648,NaN
0.7262114280571625,1.0476157527896648,NaN
0.7797187004322481,1.0476157527896648,NaN
0.8371683896936681,1.0476157527896648,NaN
0.8988509731955419,1.0476157527896648,NaN
0.9650783306691824,1.0476157527896648,NaN
1.0361853211506709,1.0476157527896648,NaN
1.1125314760964868,1.0476157527896648,0.0013299990805846628
1.1945028172479306,1.0476157527896648,0.0013317040257259712
1.2825138084358318,1.0476157527896648,0.0013339526256982226
1.3770094511942694,1.0476157527896648,0.0013368162447097102
1.4784675347791496,1.0476157527896648,0.0013400442552938124
1.5874010519681994,1.0476157527896648,0.0013434854146097573
1.7043607928571491,1.0476157527896648,0.0013471512337965095
1.8299381297668706,1.0476157527896648,0.0013511091998766377
1.9647680073425282,1.0476157527896648,0.0013551348099703673
2.1095321529632933,1.0476157527896648,0.0013592229339301329
2.2649625236951114,1.0476157527896648,0.001363342736213728
2.4318450072150157,1.0476157527896648,0.001367538164115117
2.611023395419619,1.0476157527896648,0.001371544561520532
2.8034036508091575,1.0476157527896648,0.0013757632923260396
3.009958487218793,1.0476157527896648,0.0013798857704336032
3.231732288058291,1.0476157527896648,0.0013838832759437334
3.4698463869276943,1.0476157527896648,0.001387826995102529
3.7255047373088623,1.0476157527896648,0.0013915263821660186
4.0,1.0476157527896648,0.001395216889072715
0.25,1.0974987654930561,NaN
0.2684200049420297,1.0974987654930561,NaN
0.28819719621231704,1.0974987654930561,NaN
0.309431571326357,1.0974987654930561,NaN
0.3322304956185631,1.0974987654930561,NaN
0.35670924510331076,1.0974987654930561,NaN
0.38299158933399347,1.0974987654930561,NaN
0.41121041720714535,1.0974987654930561,NaN
0.44150840887582427,1.0974987654930561,NaN
0.47403875716958577,1.0974987654930561,NaN
0.5089659421686953,1.0974987654930561,NaN
0.5464665628489841,1.0974987654930561,NaN
0.5867302300023132,1.0974987654930561,NaN
0.6299605249474366,1.0974987654930561,NaN
0.6763760288786983,1.0974987654930561,NaN
0.7262114280571625,1.0974987654930561,NaN
0.7797187004322481,1.0974987654930561,NaN
0.8371683896936681,1.0974987654930561,NaN
0.8988509731955419,1.0974987654930561,NaN
0.9650783306691824,1.0974987654930561,NaN
1.0361853211506709,1.0974987654930561,NaN
1.1125314760964868,1.0974987654930561,NaN
1.1945028172479306,1.0974987654930561,0.0013472125514085683
1.2825138084358318,1.0974987654930561,0.001349773642855844
1.3770094511942694,1.0974987654930561,0.0013527541073299688
1.4784675347791496,1.0974987654930561,0.0013561809266641124
1.5874010519681994,1.0974987654930561,0.001359786553753639
1.7043607928571491,1.0974987654930561,0.001363700011580471
1.8299381297668706,1.0974987654930561,0.0013676433517623994
1.9647680073425282,1.0974987654930561,0.0013717917571794266
2.1095321529632933,1.0974987654930561,0.0013759900687313074
2.2649625236951114,1.0974987654930561,0.0013801118918231217
2.4318450072150157,1.0974987654930561,0.0013843111231553224
2.611023395419619,1.0974987654930561,0.0013884769933452108
2.8034036508091575,1.0974987654930561,0.001392514183362944
3.009958487218793,1.0974987654930561,0.0013964803369433281
3.231732288058291,1.0974987654930561,0.0014003964924552315
3.4698463869276943,1.0974987654930561,0.0014040543152371286
3.7255047373088623,1.0974987654930561,0.001407510722005363
4.0,1.0974987654930561,0.0014109103390788857
0.25,1.1497569953977358,NaN
0.2684200049420297,1.1497569953977358,NaN
0.28819719621231704,1.1497569953977358,NaN
0.309431571326357,1.1497569953977358,NaN
0.3322304956185631,1.1497569953977358,NaN
0.35670924510331076,1.1497569953977358,NaN
0.38299158933399347,1.1497569953977358,NaN
0.41121041720714535,1.1497569953977358,NaN
0.44150840887582427,1.1497569953977358,NaN
0.47403875716958577,1.1497569953977358,NaN
0.5089659421686953,1.1497569953977358,NaN
0.5464665628489841,1.1497569953977358,NaN
0.5867302300023132,1.1497569953977358,NaN
0.6299605249474366,1.1497569953977358,NaN
0.6763760288786983,1.1497569953977358,NaN
0.7262114280571625,1.1497569953977358,NaN
0.7797187004322481,1.1497569953977358,NaN
