p,L,boundary_gap
0.25,1.0,NaN
0.2684200049420297,1.0,10.716895327174303
0.28819719621231704,1.0,1.5992288127401517
0.309431571326357,1.0,6.7198107967641795e-9
0.3322304956185631,1.0,5.661738455492825e-9
0.35670924510331076,1.0,5.0466362840743234e-9
0.38299158933399347,1.0,4.72066896257238e-9
0.41121041720714535,1.0,4.715150754838747e-9
0.44150840887582427,1.0,4.604661952775356e-9
0.47403875716958577,1.0,4.742753060311237e-9
0.5089659421686953,1.0,4.782143593436868e-9
0.5464665628489841,1.0,4.480806759550711e-9
0.5867302300023132,1.0,4.469690562156218e-9
0.6299605249474366,1.0,4.711803282344519e-9
0.6763760288786983,1.0,4.754816471981125e-9
0.7262114280571625,1.0,4.543102669444421e-9
0.7797187004322481,1.0,4.484901264713e-9
0.8371683896936681,1.0,4.566133675646367e-9
0.8988509731955419,1.0,4.758304182551476e-9
0.9650783306691824,1.0,4.641111748433011e-9
1.0361853211506709,1.0,4.639014816274395e-9
1.1125314760964868,1.0,4.718732161180887e-9
1.1945028172479306,1.0,4.943604293379971e-9
1.2825138084358318,1.0,4.730212265895251e-9
1.3770094511942694,1.0,4.643229618635002e-9
1.4784675347791496,1.0,4.613985348278415e-9
1.5874010519681994,1.0,4.666882527848544e-9
1.7043607928571491,1.0,4.835471937373694e-9
1.8299381297668706,1.0,5.061926594805586e-9
1.9647680073425282,1.0,4.806590409902216e-9
2.1095321529632933,1.0,4.655771924169475e-9
2.2649625236951114,1.0,5.093084913721283e-9
2.4318450072150157,1.0,5.030451647554876e-9
2.611023395419619,1.0,5.026587772124363e-9
2.8034036508091575,1.0,5.110841944199936e-9
3.009958487218793,1.0,5.2169402667892084e-9
3.231732288058291,1.0,4.776751335511102e-9
3.4698463869276943,1.0,4.9658492354642284e-9
3.7255047373088623,1.0,5.206381321088605e-9
4.0,1.0,4.880808644739766e-9
0.25,1.0476157527896648,NaN
0.2684200049420297,1.0476157527896648,NaN
0.28819719621231704,1.0476157527896648,1.8439072044230453
0.309431571326357,1.0476157527896648,6.802823394306238e-9
0.3322304956185631,1.0476157527896648,5.571823322733216e-9
0.35670924510331076,1.0476157527896648,5.2268156228931526e-9
0.38299158933399347,1.0476157527896648,4.7718590168587575e-9
0.41121041720714535,1.0476157527896648,4.717825637366764e-9
0.44150840887582427,1.0476157527896648,4.727953429450361e-9
0.47403875716958577,1.0476157527896648,4.725747708328389e-9
0.5089659421686953,1.0476157527896648,4.6744420389122995e-9
0.5464665628489841,1.0476157527896648,4.6815093095440025e-9
0.5867302300023132,1.0476157527896648,4.664661436039309e-9
0.6299605249474366,1.0476157527896648,4.477864584635589e-9
0.6763760288786983,1.0476157527896648,4.491842297446359e-9
0.7262114280571625,1.0476157527896648,4.68841032420947e-9
0.7797187004322481,1.0476157527896648,4.620380637965619e-9
0.8371683896936681,1.0476157527896648,4.665327566752292e-9
0.8988509731955419,1.0476157527896648,4.879803069030418e-9
0.9650783306691824,1.0476157527896648,4.757071297938252e-9
1.0361853211506709,1.0476157527896648,4.720704801278947e-9
1.1125314760964868,1.0476157527896648,4.8241987196418805e-9
1.1945028172479306,1.0476157527896648,5.045233358218831e-9
1.2825138084358318,1.0476157527896648,4.830478659569088e-9
1.3770094511942694,1.0476157527896648,4.743135906908209e-9
1.4784675347791496,1.0476157527896648,4.71343486415571e-9
1.5874010519681994,1.0476157527896648,4.767651449201224e-9
1.7043607928571491,1.0476157527896648,4.937014189594694e-9
1.8299381297668706,1.0476157527896648,5.163722054915908e-9
1.9647680073425282,1.0476157527896648,4.912953684967661e-9
2.1095321529632933,1.0476157527896648,4.767251364824344e-9
2.2649625236951114,1.0476157527896648,5.206227490664258e-9
2.4318450072150157,1.0476157527896648,5.148887369397751e-9
2.611023395419619,1.0476157527896648,5.150445135758261e-9
2.8034036508091575,1.0476157527896648,5.24118034169054e-9
3.009958487218793,1.0476157527896648,4.7743442921818354e-9
3.231732288058291,1.0476157527896648,4.920133793685928e-9
3.4698463869276943,1.0476157527896648,5.115401091038807e-9
3.7255047373088623,1.0476157527896648,4.775968180342369e-9
4.0,1.0476157527896648,5.0425547389179615e-9
0.25,1.0974987654930561,NaN
0.2684200049420297,1.0974987654930561,NaN
0.28819719621231704,1.0974987654930561,2.1182864767025036
0.309431571326357,1.0974987654930561,7.054951243734222e-9
0.3322304956185631,1.0974987654930561,5.952797379453955e-9
0.35670924510331076,1.0974987654930561,5.201999995512893e-9
0.38299158933399347,1.0974987654930561,4.9020450126945664e-9
0.41121041720714535,1.0974987654930561,4.759599641023129e-9
0.44150840887582427,1.0974987654930561,4.8853877959483965e-9
0.47403875716958577,1.0974987654930561,4.74556029813822e-9
0.5089659421686953,1.0974987654930561,4.607737651759308e-9
0.5464665628489841,1.0974987654930561,4.586885872484796e-9
0.5867302300023132,1.0974987654930561,4.505219201337265e-9
0.6299605249474366,1.0974987654930561,4.689566593969518e-9
0.6763760288786983,1.0974987654930561,4.721520550405143e-9
0.7262114280571625,1.0974987654930561,4.913004731495957e-9
0.7797187004322481,1.0974987654930561,4.808371199306076e-9
