L,boundary_gap_p1_fat,boundary_gap_p2_thin
2.0,0.5598930579681025,0.5292538517019179
21.5,0.9249874972686767,0.9157947428747676
41.0,0.9401118855636235,0.9271421312157562
60.5,0.9460533984059436,0.9315543192264897
80.0,0.9494358350433566,0.93405479589733
